Unnamed: 0,Player (52),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Donald  Aaron Donald,DL,32,26000000,11.57,-59500000.0,28500000,2025
2,Stafford  Matthew Stafford,QB,35,20000000,8.9,-106500000.0,27500000,2027
3,Kupp  Cooper Kupp,WR,30,17360000,7.72,-59400000.0,20000000,2027
4,Havenstein  Rob Havenstein,RT,31,9703294,4.32,-20878508.0,11500000,2026
5,Noteboom  Joseph Noteboom,T,28,6500000,2.89,-21500000.0,13500000,2025
6,Higbee  Tyler Higbee,TE,30,6438786,2.86,-16300977.0,7517644,2026
7,Allen  Brian Allen,C,28,3050000,1.36,-6200000.0,3000000,2025
8,Fuller  Jordan Fuller,SS,25,2785678,1.24,-42678.0,2743000,2024
9,Dotson  Kevin Dotson,G,27,2250000,1.0,,2250000,2024
10,Shelton  Coleman Shelton,G,28,1750000,0.78,-2750000.0,2000000,2025
11,Avila  Steve Avila,G,24,1682311,0.75,-7442150.0,4479244,2027
12,Atwell  TuTu Atwell,WR,24,1611463,0.72,-828618.0,1197154,2025
13,Jones  Ernest Jones,LB,24,1305232,0.58,-420310.0,1095077,2025
14,Hopkins  Brycen Hopkins,TE,26,1173283,0.52,-163283.0,1010000,2024
15,Brown  Bobby Brown,DL,23,1129133,0.5,-378266.0,940000,2025
16,Anchrum  Tremayne Anchrum,G,25,1028873,0.46,-18873.0,1010000,2024
17,Young  Byron Young,DL,25,1010303,0.45,-1041212.0,1791212,2027
18,Murchison  Larrell Murchison,DL,26,1010000,0.45,,1010000,2024
19,Durant  Decobie Durant,CB,24,996085,0.44,-378255.0,870000,2026
20,Turner  Kobie Turner,DL,24,980268,0.44,-921072.0,1671072,2027
21,Skowronek  Ben Skowronek,WR,26,961131,0.43,-42262.0,940000,2025
22,Williams  Kyren Williams,RB,23,947601,0.42,-232803.0,870000,2026
23,Jackson  Alaric Jackson,RT,25,946667,0.42,-6667.0,940000,2024
24,Robinson  Demarcus Robinson,WR,29,940000,0.42,-1165000.0,1165000,2024
25,Witherspoon  Ahkello Witherspoon,CB,28,940000,0.42,-1080000.0,1080000,2024
26,Johnson  John Johnson,SS,28,940000,0.42,-1080000.0,1080000,2024
27,Reeder  Troy Reeder,LB,29,940000,0.42,-1080000.0,1080000,2024
28,Hoecht  Michael Hoecht,DL,26,940000,0.42,,940000,2024
29,Williams  Jonah Williams,DL,28,940000,0.42,,940000,2024
30,Rozeboom  Christian Rozeboom,LB,26,940000,0.42,,940000,2024
31,Lake  Quentin Lake,S,24,903004,0.4,-99012.0,870000,2026
32,Kendrick  Derion Kendrick,CB,23,903004,0.4,-99012.0,870000,2026
33,Yeast  Russ Yeast,S,24,889252,0.4,-57756.0,870000,2026
34,Hummel  Jake Hummel,LB,24,871666,0.39,-3334.0,870000,2025
35,Hampton  Nick Hampton,ED,23,824776,0.37,-299104.0,1049104,2027
36,McClendon Jr.  Warren McClendon Jr.,T,22,811244,0.36,-244976.0,994976,2027
37,Allen  Davis Allen,TE,22,811244,0.36,-244976.0,994976,2027
38,Nacua  Puka Nacua,WR,23,811244,0.36,-244976.0,994976,2027
39,Tomlinson  Tre Tomlinson,CB,23,799963,0.36,-199852.0,949852,2027
40,Mathis  Ochaun Mathis,DL,24,795616,0.35,-182464.0,932464,2027
41,Evans  Zach Evans,RB,22,783334,0.35,-133336.0,883336,2027
42,Evans  Ethan Evans,P,22,777001,0.35,-108004.0,858004,2027
43,Johnson  Desjuan Johnson,DL,24,769444,0.34,-77776.0,827776,2027
44,Rivers  Ronnie Rivers,RB,24,694444,0.31,,694444,2024
45,Trammell  Austin Trammell,WR,25,676667,0.3,,676666,2024
46,Freeman  Royce Freeman,RB,27,626667,0.28,,720000,2024
47,Wentz  Carson Wentz,QB,31,620000,0.28,,770000,2024
48,Taylor II  Jason Taylor II,S,24,607844,0.27,-98032.0,681368,2027
49,Thomas  Keir Thomas,ED,25,386664,0.17,,386664,2025
50,Tinker  Carson Tinker,LS,34,208888,0.09,,258888,2024
51,Johnson  Tyler Johnson,WR,25,56111,0.03,,56111,2024
52,Maher  Brett Maher,K,34,52222,0.02,,60000,2024
